Ziel	O
eines	O
schweren	O
Diebstahls	CRIME
war	O
in	O
der	O
vergangenen	O
Nacht	O
ein	O
Hotel	SCENE
in	O
Mitte	LOCATION
.	O
Nach	O
den	O
bisherigen	O
Ermittlungen	O
betraten	O
gegen	O
1.30	TIME
Uhr	TIME
zwei	PERSON
Unbekannte	PERSON
die	O
Eingangshalle	O
des	O
Hotels	SCENE
.	O
Während	O
ein	O
Täter	O
ein	O
Fenster	O
öffnete	O
,	O
schlug	O
sein	O
Kumpane	O
mit	O
einem	O
Stein	WEAPON
eine	O
Glasvitrine	O
ein	O
.	O
Mit	O
seiner	O
Beute	O
flüchtete	O
das	O
Duo	O
über	O
das	O
zuvor	O
geöffnete	O
Fenster	O
in	O
Richtung	O
Gendarmenmarkt	LOCATION
.	O
Verletzt	O
wurde	O
niemand	O
.	O
Die	O
Kriminalpolizei	O
der	O
Direktion	O
3	O
hat	O
die	O
Ermittlungen	O
übernommen	O
.	O
Im	O
Zusammenhang	O
mit	O
einem	O
Verkehrsunfall	CRIME
in	O
Charlottenburg	LOCATION
bittet	O
die	O
Polizei	O
Berlin	O
um	O
Mithilfe	O
.	O
Am	O
vergangenen	O
Dienstag	TIME
,	TIME
6	TIME
.	TIME
Mai	TIME
2014	TIME
,	TIME
gegen	O
8	TIME
Uhr	TIME
kam	O
es	O
an	O
der	O
Kreuzung	LOCATION
Kant	LOCATION
-	LOCATION
Ecke	LOCATION
Leibnizstraße	LOCATION
zum	O
Zusammenstoß	O
zwischen	O
einem	O
Pkw	PERSON
und	O
einer	O
Radfahrerin	PERSON
.	O
Die	O
44	AGE
--	AGE
jährige	AGE
Radfahrerin	PERSON
erlitt	O
bei	O
dem	O
Unfall	CRIME
schwere	O
Verletzungen	O
und	O
kam	O
zur	O
stationären	O
Behandlung	O
in	O
ein	O
Krankenhaus	O
.	O
Beide	O
Fahrzeuge	O
,	O
ein	O
grauer	O
Pkw	O
„	O
Toyota	O
``	O
und	O
ein	O
weißes	O
Herrenfahrrad	O
,	O
wurden	O
beschädigt	O
.	O
Der	O
Unfallhergang	O
ist	O
bislang	O
unklar	O
.	O
In	O
diesem	O
Zusammenhang	O
hat	O
der	O
Verkehrsdienst	O
der	O
Polizeidirektion	O
2	O
,	O
der	O
die	O
Ermittlungen	O
führt	O
,	O
folgende	O
Fragen	O
:	O
•	O
Wer	O
hat	O
den	O
Verkehrsunfall	O
beobachtet	O
?	O
•	O
Wer	O
kann	O
sachdienliche	O
Angaben	O
zum	O
Unfallhergang	O
machen	O
?	O
Hinweise	O
nimmt	O
der	O
Verkehrsermittlungsdienst	O
der	O
Polizeidirektion	O
2	O
,	O
Alt-Moabit	O
5a	O
in	O
10557	O
Berlin	O
unter	O
der	O
Telefonnummer	O
-LRB-	O
030	O
-RRB-	O
4664	O
--	O
281	O
800	O
oder	O
jede	O
andere	O
Polizeidienststelle	O
entgegen	O
.	O
Bei	O
der	O
Vollstreckung	O
von	O
richterlich	CRIME
angeordneten	CRIME
Durchsuchungsmaßnahmen	CRIME
haben	O
Polizeibeamte	O
gestern	O
einen	O
Mann	PERSON
in	O
Tegel	LOCATION
festgenommen	O
.	O
Mehr	O
als	O
200	O
Polizisten	O
vollstreckten	O
18	O
Durchsuchungsbeschlüsse	O
wegen	O
des	O
Verdachts	O
des	O
Drogenhandels	CRIME
.	O
In	O
der	O
Wohnung	O
des	O
30-jährigen	AGE
Mannes	PERSON
stellten	O
die	O
Beamten	O
mehr	O
als	O
2,5	WEAPON
Kilogramm	WEAPON
Drogen	WEAPON
und	O
mehrere	WEAPON
Tausend	WEAPON
Euro	WEAPON
mutmaßlichen	O
Handelserlöses	O
sowie	O
händlertypische	O
Utensilien	O
sicher	O
.	O
Auch	O
bei	O
der	O
Durchsuchung	O
anderer	O
Wohnanschriften	O
wurden	O
die	O
Ermittler	O
fündig	O
:	O
sie	O
stellten	O
Schlagwerkzeug	WEAPON
,	O
so	O
genannte	O
„	O
Polenböller	WEAPON
``	O
,	O
weitere	O
Drogen	WEAPON
in	O
geringerer	O
Menge	O
sowie	O
Substanzen	WEAPON
,	O
die	O
dem	O
Arzneimittelgesetz	WEAPON
unterliegen	O
,	O
sicher	O
.	O
Der	O
30-Jährige	O
wird	O
heute	O
einem	O
Ermittlungsrichter	O
zum	O
Erlass	O
eines	O
Haftbefehls	O
vorgeführt	O
.	O
Beim	O
Rangieren	O
auf	O
einem	O
Mieterparkplatz	O
in	O
Wilmersdorf	LOCATION
erfasste	CRIME
ein	CRIME
Autofahrer	CRIME
gestern	TIME
